document,field,gold_state,gold_derivation,value_cited,value_page,value_span,value_bbox,value_support,value_localized,evidence_available,evidence_read,evidence_state,evidence_value,evidence_support,verify_available,verify_support,verify_note,pipeline_joint
sds_08.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_08.pdf,product_cas_number,NOT_APPLICABLE,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_08.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_08.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_08.pdf,flash_point,PRESENT,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_09.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_09.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_09.pdf,substance_or_mixture,PRESENT,COMPOSITION_IMPLIED,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,composition establishes MIXTURE,no
sds_09.pdf,product_cas_number,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_09.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_09.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_09.pdf,flash_point,NO_DATA,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_10.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_10.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_10.pdf,flash_point,NO_DATA,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_11.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_11.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_11.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,violated,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_11.pdf,product_cas_number,NOT_APPLICABLE,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_11.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,violated,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_11.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,True,violated,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
